"
 Q＆A",,,0/82 完了  ,,
,,,,,
✓,進捗,中項目,タスク,回答例,
FALSE,内容精査中,検査データ,リンが上がるとどうなる？,異所性石灰化による動脈硬化が進み、心筋梗塞や脳梗塞等のリスクが上がってしまいます。また関節痛や下肢のむずむず等の症状が出ることもあります。,
FALSE,,,カリウムが高いとどうなる？,"体内の余分なカリウムは、腎臓の働きにより尿中へ排泄されます。しかし、透析患者さんは腎機能が低下しているため、尿から排泄される量が少なく、カリウムが体にたまり、高カリウム血症になりやすいです。高カリウム血症になると、しびれや不整脈といった症状があらわれます。重症になると、心停止に至る恐れもあります。食事による過剰摂取だけでなく便秘によってもおこります。ご希望の方は下剤の内服等医師にご相談ください。
また、食事量が十分に取れていない方や、下痢、嘔吐などの症状がある方は、低カリウム血症となり、脱力感、不整脈などの症状があらわれることがあります。",
FALSE,確認依頼,食事療法,果物はどのくらい食べてもいいの？,⑳に⑤のリンク追加,
FALSE,確認依頼,検査データ,リンの上がりやすい食品は？,乳製品、小魚や魚卵等、レバー等の臓物類、加工肉、練り製品、ファーストフード等の添加物の多い食品に多いです。食べる頻度や量、同じ日や連日にリンの高い食品が重ならないようにすることが大切です。リンクへ,
FALSE,今回は無し,検査データ,カリウムの高い食品は？,カリウムの高い食品の表(リンクへ）,
FALSE,確認依頼,検査データ,中性脂肪は何食べたら上がるの？,脂質の多い食品だけでなく、欠食が多い・野菜が少ない・炭水化物に偏った食事、甘い飲み物やお菓子類の摂取頻度が多い　等の食習慣のある方は中性脂肪が上がりやすいです。3食バランスよく食べることを心がけましょう。リンクへ。,
FALSE,確認依頼,食事療法,水分はどのくらい摂ってもいいの？,できるだけ減らしましょう。適量な飲水量は患者さんによって変わりますので、医師、または栄養士にご相談ください。塩分摂取量を抑えることで飲水量を抑えることができます。また、食品や調理法によっても水分量は違います。増えやすい２日空きの日、ドライウエイトまで引き切れていないとき等は水分の多い食品や水分の多い料理を避け、焼き・炒める・揚げる料理を多くしたり、汁物や麺類、煮込み料理を控える等調節しましょう。,
FALSE,内容精査中,その他,カップ麺は食べてもいい？,食べてはいけないことはありませんが、カップ麺は塩分が高く飲水量が増えてしまいがちです。リンも上がりやすいため、量や頻度には注意が必要です。たまにの楽しみ程度に抑えておくほうが安心です。,
FALSE,資料作成中,その他,アイスは食べてもいい？,量や頻度に注意は必要ですが食べてはいけないということはありません。アイスの種類によりリンの上がりやすさが違いますので、リンの値が気になる方はリンク（アイスクリーム、アイスミルク、ラクトアイス、氷菓の表）へ（資料は完成しているが1，3，4ページ目が不要。編集現時点でできません。）,
FALSE,確認依頼,その他,飲み物は何飲んだらいい？,お水、お茶、無糖の炭酸水、紅茶等がおすすめです。飲み物によってはリンやカリウムの上がりやすいものあるので注意してください。また、糖分の多いものはのどが渇き飲水量が増えてしまうため注意が必要です。ＤＭのある方は甘い飲み物の糖分は吸収されやすいため、注意が必要です。リンクへ,
FALSE,確認依頼,その他,カロリーゼロ（糖質オフ）っていいの？,カロリーゼロや糖質オフなどの表記のあるものも、カロリーや糖質が全く入っていない訳ではありません。人工甘味料は血糖値は上がりませんが、腸内環境の悪化等につながるリスクもあるため頻繁に飲むことはおすすめできません。表示についてはリンクをご確認ください。,
FALSE,今回は無し,,カレー食べていい？,食べても大丈夫ですが、塩分や水分の多い料理なため増加量が増えやすい特徴はあります。調理方法によっても水分量が違います。水分量の多い料理は週末や残しが多い時にはできるだけ避けるようにすると体重コントロールがしやすいです。リンクへ。,
FALSE,今回は無し,,食事食べんかったときはリンの薬飲まんでいい？,リン吸着薬は、食事中のリンと結合して体外への排出を促す薬なので、食事を摂らない時は原則として服用する必要はありません。（←フォゼベル内服中の人は内服してくださいの方がいい？のか？）,
FALSE,今回は無し,,ヤクルト飲んでもいい？,ヤクルトはリンが上がる可能性や糖分が多い飲み物なので、日ごろからＰが高い方、糖尿病の方へはおすすめはできません。飲む場合は頻度や量には注意しましょう。,
FALSE,資料作成中,食事療法,増加量多かったら何があかんの？,増加量が多いと、透析中の血圧低下や除水量が増えるため心臓への負担がかかってしまいます。心不全や溢水、シャント閉塞などのリスクがありますので注意が必要です。リンクへ。（中百舌鳥の共有フォルダにある、少し編集必要。）,
FALSE,内容精査中,食事療法,食べたらいけないものはありますか？,食べる量に注意が必要な食品があります、またお薬との食べ合わせで注意が必要な食品があります。透析患者さんはカリウム・リン・食塩摂取量・水分摂取量を意識して食べる必要があります。リンクへ,量や頻度に注意。リンやカリウムの多い食品には注意。別紙へでリンやカリウムの多い表などリンク付け？するか。
FALSE,内容精査中,食事療法,食べた方がいいものはありますか？,各個人の栄養状態によって違いますが、栄養バランスが良い食事を基本にします。リンクへ,
FALSE,内容精査中,食事療法,果物は食べていいですか？,果物にはカリウムや水分が多く含まれています、量や食べる頻度に注意しましょう。リンクへ,果物の1日に食べる量の目安の表にリンク付けするか
FALSE,今回は無し,,便秘の時は何を食べたらいいですか？,便秘になってしまった時はお薬に頼りましょう。便秘にならないようにバランス良く食事をしましょう。,
FALSE,今回は無し,,骨が弱いと言われました。カルシウム摂ったらいいですか？,カルシウムは多く摂取すると異所性石灰化などが起きる場合があります。医師に相談してください。,
FALSE,今回は無し,,サプリメントは飲んでいいですか？,医師または栄養士に相談してください。,
FALSE,内容精査中,食事療法,おやつは何を食べたらいいですか？,おやつは自分にあったものを選びましょう。リンクへ,リンやカリウムの低いおすすめの間食の表リンク付け、+ＤＭの方は200kcal以内/日を目安に。とかどうか？
FALSE,今回は無し,,外食したとき何を選べばいいですか？,和食は一般的に塩分が多いです。洋食は乳製品が多い場合はリンが多くなります。中華は油料理が多いです。いずれも工夫すればバランス良く食べることは可能です。,もう少し具体的には答えなくていいのか。。。どの程度の熱量で答えていいのかわかりませんが。和食なら塩分を控えるために定食等で出てくる汁物や漬物はできるだけ控えることや、洋食の乳製品を抑えるならハンバーグはチーズのかかったもの等より和風の方がリンは上がりにくい、パスタはクリーム系より和風の方が上がりにくい等、ご飯＋麺などの炭水化物に偏ったものより主食、主菜、副菜のそろったバランスのよい食事を心がけましょう。
FALSE,今回は無し,,貧血と言われました。何を食べたらいいですか？,医師に相談の上、鉄の多い食品の選択などは栄養士に相談しましょう。,鉄分の多い食品はＰが高いためとかの説明いりますかね？
FALSE,内容精査中,食事療法,糖尿病と診断されています。何を食べたらいいですか？,３食バランス良く食べることを意識してください。リンクへ,内服忘れやインスリンを打たれている方は打ち忘れや単位数間違いには注意しましょう。とかいらないか？
